$STMI,S&PTmi,9
$DECT,TotalDecliningStocks,9
$DOWI,DowJonesIndustrialsAverage,9
$INX,S&P500Index,9
$DECU,OTCUSDecliningStocks,9
$ADVT,TotalAdvancingStocks,9
$DOWC,DowJonesCompositeAverage,9
$DECQ,NASDDecliningStocks,9
$TOOC,TSXCompositeCappedIndex,9
$TXCX,TSXCompositeIndex,9
$DSTC,U.S.TechnologyIndex,9
$SSCO,S&PComposite1500,9
UMG23,BMFBovespaMini,2
$OEX,S&P100Index,9
$TXSG,TSXCompositeESGIndex,9
$ADVU,OTCUSAdvancingStocks,9
^BTCUSDT,Bitcoin/Tether,18
$DECN,NYSEDecliningStocks,9
$DSSV,U.S.Software&ComputerServicesIndex,9
$DSSC,U.S.SemiconductorsIndex,9
$ADVQ,NASDAdvancingStocks,9
$DSTQ,U.S.TechnologyHardware&EquipmentIndex,9
$X9HB,S&P1500InformationTechnology[Sector],9
$X5J,S&P1500Retailing[IndustryGroup],9
$DSSW,U.S.SoftwareIndex,9
$SRIT,S&P500InformationTechnology[Sector],9
$DECE,ETFSDecliningStocks,9
$IDX,S&PMidcap400,9
$X5CD,S&P1500ConsumerDiscretionary[Sector],9
$X5JD,S&P1500Internet&Catalogretail[Industry],9
$U5JD,S&P500Internet&CatalogRetail[Ind],9
$UJDD,S&P500InternetRetail[SubIndustry],9
$DSCY,U.S.ConsumerServicesIndex,9
$XJDD,S&P1500InternetRetail[SubInd],9
$DOWT,DowJonesTransportationsAverage,9
$DSCR,U.S.ComputerHardwareIndex,9
$ADVN,NYSEAdvancingStocks,9
$SRCD,S&P500ConsumerDiscretionary[Sector],9
$U9DD,S&P500Computers&Peripherals[Ind],9
$X9DD,S&P1500Computers&Peripherals[Industry],9
$IQY,S&PSmallcap600,9
$X5JH,S&P1500SpecialtyRetail[Industry],9
$UNCU,OTCUSUnchangedStocks,9
$ADVE,ETFSAdvancingStocks,9
$X9B,S&P1500Software&Services[IndustryGroup],9
$X9F,S&P1500Semiconductors&Equipment[IndustryGr,9
$X9FB,S&P1500Semiconductor&SemiconductorEquipment,9
$DSNC,U.S.ConsumerGoodsIndex,9
$TXBB,TSXBuybackIndex,9
$U9F,S&P500Semiconductors&SemiconductorEquipment,9
$U9FB,S&P500Semiconductor&Equipment[Ind],9
$DSGT,U.S.GeneralRetailersIndex,9
$DSRT,U.S.RetailIndex,9
$SRLX,S&P500Retailing[IndustryGroup],9
$XVBD,S&P1500Semiconductors[SubInd],9
$X9BF,S&P1500Software[Industry],9
$UVBD,S&P500Semiconductors[SubInd],9
$X9D,S&P1500TechnologyHardware&Equipment[Indust,9
$U9B,S&P500Software&Services[IndustryGroup],9
$DSCG,U.S.Travel&LeisureIndex,9
$DSNS,U.S.InternetIndex,9
$DSFN,U.S.FinancialsIndex,9
$U9D,S&P500TechnologyHardware&Equipment[Industr,9
$TS1X,TSXCompEnergy[Sector]TR,9
$U9BF,S&P500Software[Ind],9
$XTFD,S&P1500SystemsSoftware[SubInd],9
$DSHC,U.S.HealthCareIndex,9
$UTFD,S&P500SystemsSoftware[SubInd],9
$X7HB,S&P1500HealthCare[Sector],9
$DSAP,U.S.Automobiles&PartsIndex,9
$DSIN,U.S.IndustrialsIndex,9
$DSGF,U.S.FinancialServicesIndex,9
$DSIG,U.S.IndustrialGoods&ServicesIndex,9
$DSRB,U.S.BroadlineRetailersIndex,9
$W5CD,S&P600ConsumerDiscretionary[Sector],9
$DSFI,U.S.FinancialServicesIndex,9
$DSAU,U.S.AutomobilesIndex,9
$DSMC,U.S.HealthCareEquipment&ServicesIndex,9
$X5FB,S&P1500HotelsRestaurants&Leisure[Industry],9
$ADVX,CADTotalAdvancingStocks,9
$U5FB,S&P500HotelsRestaurants&Leisure[Ind],9
$W5JH,S&P600SpecialtyRetail[Industry],9
$SRHC,S&P500HealthCare[Sector],9
$W5J,S&P600Retailing[IndustryGroup],9
$X5F,S&P1500ConsumerServices[IndustryGroup],9
$DSHP,U.S.HealthCareProvidersIndex,9
$U5F,S&P500ConsumerServices[IndustryGroup],9
$DECX,CADTotalDecliningStocks,9
$X8HB,S&P1500Financials[Sector],9
$X4HB,S&P1500Industrials[Sector],9
$DSME,U.S.MediaIndex,9
$DSBT,U.S.BiotechnologyIndex,9
$DSBC,U.S.Broadcasting&EntertainmentIndex,9
$X7B,S&P1500HealthCareequipment&Services[Indust,9
$DSEN,U.S.Oil&GasIndex,9
$DSRS,U.S.SpecialtyRetailersIndex,9
$V9HB,S&P400InformationTechnology[Sector],9
$X7D,S&P1500Pharmaceuticals,9
$TS4X,TSXCompFinancials[Sector]TR,9
$X2HB,S&P1500Energy[Sector],9
$X2B,S&P1500Energy[IndustryGroup],9
$X7DB,S&P1500Biotechnology[Industry],9
$XOBB,S&P1500Biotechnology[SubInd],9
$DSNG,U.S.Personal&HouseholdGoodsIndex,9
$DSPN,U.S.Pharmaceuticals&BiotechnologyIndex,9
$DSIQ,U.S.IndustrialEngineeringIndex,9
$X2BD,S&P1500Oil,9
$TXFO,TSXCompletionIndex,9
$SRFI,S&P500Financials[Sector],9
$V5DF,S&P400Textiles,9
$W8D,S&P600DiversifiedFinancials[IndustryGroup],9
$V5CD,S&P400ConsumerDiscretionary[Sector],9
$DSOG,U.S.Oil&GasProducersIndex,9
$X4B,S&P1500CapitalGoods[IndustryGroup],9
$U7B,S&P500HealthCareEquipment&Services[Indust,9
