CAPD.LN,CapitalLtd.,6
NCM.TO,NewcrestMiningLtd,6
PPC,"PilgrimsPride",1
GKOS,GlaukosCorp,1
0QRS.LN,IssA/SOrdShs,6
EXK,EndeavourSilverCorp,1
FIVE.LN,X5RetailGroupN.V,6
IOSP,InnospecInc,1
ALA.TO,AltagasLtd,6
IVN.TO,IvanhoeMinesLtd,6
ITPUF,IsharesIIPlc.,1
0FS8.LN,RenewableEnergyOrdShs,6
NEX.FP,Nexans,6
MSDA,MsdAcquisitionCorpClA,11
BIRG.LN,BankofIrelandGroupPlc,6
SOHO.L.EB,TriplePointSocialHousingREITPlc,6
INVZ,InnovizTechnologiesLtd,1
0XVE.LN,BESemiconductorIndustriesNV,6
CGNR.LN,ConroyGold&NaturalResourcesPlc,6
CYSE.LN,WTCybersecurityUcitsETF-USDAcc,6
URNP.LN,SprottUraniumMinersETFAccETFGbx,6
CARG,CargurusIncClA,1
VLS.LN,VelocysPlc,6
ANX.LN,AnexoGroupPlc,6
HTHIY,HitachiADR,1
GTLY.LN,Gateley[Holdings]Plc,6
NCCB.S.DX,NccAb,6
BLV.LN,BelvoirGroupPlc,6
GES,GuessInc,1
BAKK.LN,BakkavorGroupPlc,6
0RDM.LN,AbnAmroGroupOrdShs,6
CRPR.LN,Cropper[James]Plc,6
BSAC,BancoSantanderChileADR,1
AMZN.NE,Amazon.comCdr[CadHedged],6
BEP,BrookfieldRenewable,1
GTLCL,ChartIndustriesIncDe.Pfd,1
AESC,AesCorp,11
TFIN,TriumphFinancialInc,1
HROW,HarrowHealthInc,1
UPWK,UpworkInc,1
INO,InovioPharma,1
CINE.L.EB,CineworldGroupPlc,6
KAL,KaleraPublicLimitedCompany,1
GFL.TO,GflEnvironmentalInc,6
ARQT,ArcutisBiotherapeuticsInc,1
VBTX,VeritexHoldings,1
BMI,BadgerMeter,1
UMBF,UmpFinancialCorp,1
INSP.LN,InspiritEnergyHoldingsPlc,6
MP1.AX,MegaportLtd,6
UTZ,UtzBrandsInc,1
SVNA,7AcquisitionCorpClA,11
PTY,PimcoCorporateOpportunityFund,11
