LKO.AX,LakesBlueEnergyNL,6
EDR.E.EB,EdreamsOdigeoSa,6
EEIP.LN,WTEuropeEquityIncomeUcitsETFAcc,6
KIDZ.VN,KidozInc,6
KLM.VN,KermodeResourcesLtd,6
LNEWS,LandaAppLlc.,1
MAXD,MaxSoundCorp,1
JEMTF,BarclaysBankPlc,1
JSDA.CN,JonesSodaCO,6
KAMRF,KalamazooResourcesLtd,1
MRQOC.AX,MrgMetalsOptJun23[Mrqoc],6
MHI.VN,MineralHillIndustriesLtd,6
MLMAZ.BB,Mazaro,6
MEIL,MethesEnergiesInternationalL,1
MEX.VN,MexicanGoldMiningCorp,6
BLZOB.AX,BlazeMinOptmay24[Blzob],6
ARHDS,RseArchiveLlc.,1
ASMMF,AustralianStrategicMaterials,1
CADOA.AX,CaeneusOptDec23[Cadoa],6
CELJF,CellcomIsrael,1
0P30.LN,PatrimoineEtCommerceOrdShs,6
0T6N.LN,NanoOneMaterialsOrdShs,6
NRDXF,NordexAg,1
NRZOA.AX,NeurizerOptOct24[Nrzoa],6
NTTDF,NttDataCorp,1
NVT.VN,NortecMineralsCorp,6
RV.VN,DiscoveryOneInvestmentCorp,6
CYQOA.AX,CycliqOptMay23[Cyqoa],6
DRAX-P.VN,DraxosCapitalCorp,6
VOLT.CN,VoltageMetalsCorp.,6
ELVT-WT-A.VN,ElevationGoldMiningCorporation,6
GNT.VN,GentorResourcesInc,6
GTRO.AX,GtiResOptoct24D[Gtro],6
HCPHF,HolcimPhilippinesInc,1
HENGF,HengdeliHoldingsLtd,1
IZN.VN,InzincMiningLtd,6
FCMC.FP,Ferm.CasinoMunicipalCannes,6
CCTR,ChinaCrescentEntrp,1
LITOB.AX,LithiumausOptOct25[Litob],6
NOGNW,NoginIncWT,11
IBUY.AX,BetaEcommETFUnits[Ibuy],6
QUBHF,QubeHldgsLtd,1
ADPXY,AudioPixelsHlADR,1
CHDRY,ChristianDiorS.E.,1
BDOUF,BdoUnibankInc,1
AMZS.LN,Levshares-1XAmazonEtp,6
TTRAF,TelstraGroupLtd,1
LVO.M.EB,LyxorS&P500VIXFuturesEnhancedRollUcitsEt,6
0N6K.LN,ClaranovaOrdShs,6
NTCPF,NorthisleCopper&G,1
IQEG.FP,IQEURSovSri,6
RGEDF,ChemicalWksofRichterGedeonPlc,1
BEVVF,BeeVectoringTechnologiesIntl,1
TLGO.E.EB,TalgoSa,6
AAUOB.AX,AntillesOptapr23D[Aauob],6
ARMC,AsiarimCorp,1
ORHB,OrhubInc,1
PVARF,PorvairPlc,1
SRGXF,SurgeCopperCorp,1
TBRIF,ThermaBrightInc,1
KDSX.VN,KadestoneCapitalCorp,6
CADMF,RefinedMetalsCorp,1
SOP-H.VN,SoperiorFertilizerCorp,6
ROMJ-WT.VN,RubiconOrganicsIncWT,6
TWER,TowerstreamCorp,1
