AEAC,AuthenticEquityAcquisitionCorpClA,11
EIGA.AX,EinvstIncTmfUnits[Eiga],6
AII.AX,AlmontyCdi11[Aii],6
MXE,MexicoEquityand,11
NCC.AX,NaosEmergingOpportunitiesCompanyLtd,6
PYR,PyrogenesisCdaInc,1
AIQUF,"LAirLiquideOrdEU",1
NET.AX,NetlinkzLtd,6
CNOBP,ConnectoneBancorpInc,11
ERNA.L.EB,IsharesUSDUltrashortBondUcitsETF,6
OCLDY,OricaLtdADR,1
CLVSQ,ClovisOncologyInc,1
WTAI.LN,WisdomtreeAiUcitsETFUSDAcc,6
AEI.AX,AerisEnvironmentalLtd,6
BSADA.AX,BsaAustFPO[Bsa],6
SHMP,Naturalshrimp,1
0A2N.LN,LynasCorporationOrdShs,6
IPSEY,IpsenS.A.ADR,1
BSLN.Z.IX,BasileaPharmaceuticaAg,6
CAMB.BB,Campine,6
BPO-PR-P.TO,BrookfieldOfficePropertiesPrefSerP,6
NRGW.LN,LyxorETFMSCIWorldEnergyTR,6
NES.AX,NelsonResourcesLtd,6
WVAL.LN,SPDRMSCIWldVal,6
NEOV,NeovoltaInc,1
0R3E.LN,LockheedMartinOrdShs,6
EGN.AX,EngencoLtd,6
HKSHY,HongKong&ShanghaiHotels,1
0A3P.LN,FastlyOrdShsClA,6
FSNUF,FreseniusSe&CompanyKgaa,1
OUT1V.H.EB,OutokumpuOyj,6
BRBS,BlueRidgeBankshare,1
BHT.VN,BraveheartResourcesInc,6
BPOPM,PopularIncTrustII,11
IGLG.LN,IsharesPhysicalGoldGBPHedgedEtc,6
HEMC.LN,HSBCMSCIEMUcitsETFUSD[Acc],6
WML.VN,WealthMineralsLtd,6
DXYN,TheDixieGroup,1
PADV.LN,SPDRS&PPanAsiaDividendUcitsETF,6
PEPL,PepperlimeHealthAcquisitionCorpClA,11
NCCB.S.EB,NccAb,6
LINSA,LifeInsuranceCo.ofAlabama,1
HTY,JohnHancockTax-AdvantagedGlobal,11
TFG.NA,TetragonFinGrp,6
BIRG.I.EB,BankofIrelandGroupPlc,6
IBC.AX,IronbarkCapitalLtd,6
0H7S.LN,AbiomedOrdShs,6
CNTA,CentessaPharmaceuticalsPlcADR,1
ROVI.E.IX,LaboratoriosFarmaceuticosRoviSa,6
IHREF,IsharesIIIPlc,1
HUFAF,HufvudstadenAb,1
CGLCF,CassiarGoldCorp,1
CRAV.FP,CrcamAtl.Vend.Cci,6
XAU.TO,GoldmoneyInc,6
NTRB,NutribandInc,1
